periode,esp_nom_commun,esp_nom_commun_nb
1991,"Chevaine, Goujon, Gardon, Anguille d'Europe, Spirlin, Hotu, Vairon, Epinoche, Ablette, Loche franche, Vandoise, Lote de rivière, Barbeau fluviatile, Perche, Tanche, Brochet, Brème commune, Rotengle, Carpe commune, Perche soleil, Sandre, Brème bordelière, Gremille, Truite de riviere, Chabot, Bouvière, Loche de rivière, Carassin, Ombre commun, Lamproie de planer, Poisson chat, Truite de mer, Saumon atlantique, Epinochette, Truite arc-en-ciel, Lamproie de rivière, Lamproie marine, Toxostome, Epirine lippue, Blageon, Barbeau méridional",41
1993,"Truite de riviere, Chabot, Gardon, Anguille d'Europe, Vandoise, Chevaine, Goujon, Brochet, Spirlin, Ablette, Epinoche, Brème commune, Vairon, Perche, Bouvière, Barbeau fluviatile, Tanche, Sandre, Brème bordelière, Carpe miroir, Carpe commune, Hotu, Gremille, Lote de rivière, Perche soleil, Rotengle, Loche franche, Carassin, Ombre commun, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Truite arc-en-ciel, Epinochette, Loche de rivière, Able de Heckel, Truite de mer, Saumon atlantique, Poisson chat, Pseudorasbora, Lamproie marine, Blageon, Barbeau méridional, Toxostome, Saumon de fontaine",44
1995,"Goujon, Gardon, Chevaine, Ablette, Spirlin, Vandoise, Loche franche, Vairon, Perche, Gremille, Chabot, Loche de rivière, Hotu, Carpe cuir, Epinoche, Carpe miroir, Carassin, Tanche, Brochet, Brème commune, Ide melanote, Rotengle, Bouvière, Anguille d'Europe, Sandre, Truite arc-en-ciel, Epinochette, Truite de riviere, Lamproie de planer, Truite de mer, Lamproie de rivière, Barbeau fluviatile, Perche soleil, Carpe commune, Brème bordelière, Ombre commun, Aspe, Poisson chat, Lote de rivière, Blageon, Pseudorasbora, Carrassin doré, Flet commun, Saumon atlantique, Toxostome, Able de Heckel, Silure glane, Mulet cabot, Carassin argente, Black bass à grande bouche, Lamproie marine, Cyprinidés, Gambusie, Saumon de fontaine, Mulet à grosses levres, Grande alose, Umbre pygmee, Barbeau méridional, Mulet porc",59
1997,"Goujon, Chevaine, Gardon, Ablette, Loche franche, Vairon, Vandoise, Spirlin, Loche de rivière, Chabot, Brochet, Gremille, Perche, Epinoche, Truite arc-en-ciel, Brème commune, Rotengle, Anguille d'Europe, Brème bordelière, Perche soleil, Pseudorasbora, Tanche, Epinochette, Bouvière, Able de Heckel, Truite de riviere, Lamproie de planer, Carassin, Truite de mer, Sandre, Barbeau fluviatile, Hotu, Saumon atlantique, Carpe commune, Aspe, Lote de rivière, Carpe miroir, Ombre commun, Poisson chat, Blageon, Toxostome, Carrassin doré, Black bass à grande bouche, Cyprinidés, Carpe cuir, Gobie de sable, Flet commun, Lamproie de rivière, Lamproie marine, Carassin argente, Silure glane, Carpe agentée, Mulet porc, Ide melanote, Gambusie, Epirine lippue, Mulet à grosses levres, Grande alose, Barbeau méridional, Blennie",60
1999,"Chabot, Vairon, Anguille d'Europe, Lamproie marine, Truite de riviere, Lamproie de planer, Epinoche, Lamproie de rivière, Truite arc-en-ciel, Goujon, Chevaine, Loche franche, Gardon, Ablette, Loche de rivière, Vandoise, Spirlin, Perche, Gremille, Sandre, Brème commune, Tanche, Rotengle, Bouvière, Brochet, Brème bordelière, Able de Heckel, Carpe miroir, Carassin, Truite de mer, Perche soleil, Epinochette, Barbeau fluviatile, Hotu, Ombre commun, Saumon atlantique, Aspe, Carpe commune, Pseudorasbora, Cyprinidés, Lote de rivière, Silure glane, Poisson chat, Blageon, Saumon de fontaine, Carpe cuir, Carrassin doré, Black bass à grande bouche, Flet commun, Mulet porc, Bar, Crapet de roche, Toxostome, Ide melanote, Alose feinte, Gambusie, Grande alose, Epirine lippue, Mulet à grosses levres, Barbeau méridional, Blennie, Atherine prêtre, Mulet doré",63
2001,"Chabot, Vairon, Anguille d'Europe, Truite de riviere, Lamproie de planer, Loche franche, Chevaine, Goujon, Gardon, Vandoise, Spirlin, Loche de rivière, Ablette, Epinoche, Gremille, Brochet, Perche, Tanche, Brème commune, Brème bordelière, Carassin, Bouvière, Carpe commune, Rotengle, Sandre, Truite arc-en-ciel, Truite de mer, Flet commun, Perche soleil, Barbeau fluviatile, Hotu, Blageon, Silure glane, Ombre commun, Saumon atlantique, Lote de rivière, Aspe, Pseudorasbora, Carpe miroir, Able de Heckel, Carrassin doré, Poisson chat, Ide melanote, Lamproie indéterminée (genre Lampetra), Epinochette, Carpe cuir, Saumon de fontaine, Mulet porc, Lamproie marine, Black bass à grande bouche, Cyprinidés, Gambusie, Toxostome, Mulet à grosses levres, Grande alose, Epirine lippue, Lamproie de rivière, Barbeau méridional, Blennie, Apron, Bar, Mulet cabot",62
2003,"Vairon, Chabot, Anguille d'Europe, Lamproie de planer, Gardon, Truite de riviere, Epinoche, Vandoise, Lamproie de rivière, Truite arc-en-ciel, Loche franche, Chevaine, Goujon, Loche de rivière, Spirlin, Rotengle, Perche, Bouvière, Ablette, Tanche, Gremille, Hotu, Brème commune, Brochet, Carassin, Ide melanote, Sandre, Pseudorasbora, Epinochette, Perche soleil, Brème bordelière, Able de Heckel, Truite de mer, Barbeau fluviatile, Lamproie marine, Saumon atlantique, Carpe commune, Silure glane, Lamproie indéterminée (genre Lampetra), Carrassin doré, Ombre commun, Aspe, Cyprinidés, Lote de rivière, Poisson chat, Carpe miroir, Blageon, Saumon de fontaine, Mulet à grosses levres, Flet commun, Carpe cuir, Toxostome, Mulet porc, Black bass à grande bouche, Carassin argente, Gambusie, Carpe agentée, Grande alose, Barbeau méridional, Epirine lippue, Blennie, Mulet cabot, Mulet doré, Bar, Atherine prêtre",65
2005,"Vairon, Anguille d'Europe, Chabot, Lamproie de planer, Truite de riviere, Perche, Gardon, Truite arc-en-ciel, Carpe commune, Truite de mer, Loche franche, Goujon, Vandoise, Chevaine, Gremille, Ablette, Brème commune, Epinoche, Bouvière, Sandre, Spirlin, Loche de rivière, Tanche, Brochet, Carassin, Rotengle, Perche soleil, Pseudorasbora, Brème bordelière, Carpe miroir, Poisson chat, Saumon atlantique, Epinochette, Barbeau fluviatile, Cyprinidés, Lamproie indéterminée (genre Lampetra), Hotu, Ombre commun, Silure glane, Aspe, Lote de rivière, Carassin argente, Carrassin doré, Ide melanote, Able de Heckel, Saumon de fontaine, Blageon, Mulet porc, Gobie de sable, Flet commun, Carpe agentée, Lamproie marine, Carpe cuir, Toxostome, Crapet de roche, Black bass à grande bouche, Grande alose, Lamproie de rivière, Gambusie, Mulet à grosses levres, Barbeau méridional, Epirine lippue, Blennie, Bar",64
2007,"Chabot, Vairon, Anguille d'Europe, Truite de riviere, Lamproie de planer, Flet commun, Truite de mer, Perche, Loche franche, Ablette, Gardon, Chevaine, Goujon, Vandoise, Gremille, Spirlin, Loche de rivière, Brochet, Rotengle, Bouvière, Barbeau fluviatile, Able de Heckel, Carpe commune, Brème commune, Epinoche, Tanche, Brème bordelière, Loche d'étang, Perche soleil, Carassin, Sandre, Truite arc-en-ciel, Carpe cuir, Pseudorasbora, Epinochette, Mulet porc, Hotu, Saumon atlantique, Lamproie indéterminée (genre Lampetra), Silure glane, Aspe, Lote de rivière, Gobie demi-lune, Carassin argente, Carpe miroir, Ombre commun, Ide melanote, Poisson chat, Carrassin doré, Cyprinidés, Hybride brème-gardon, Blageon, Carpe agentée, Tête de boule, Lamproie marine, Toxostome, Crapet de roche, Grande alose, Black bass à grande bouche, Carassin doré, Gambusie, Vandoise rostrée, Mulet à grosses levres, Epirine lippue, Barbeau méridional, Saumon de fontaine, Blennie, Alose feinte, Bar, Apron, Truite de lac, Mulet cabot, Atherine prêtre",73
2009,"Chabot, Anguille d'Europe, Truite de riviere, Vairon, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Gardon, Epinoche, Loche franche, Perche, Ablette, Goujon, Vandoise, Chevaine, Truite arc-en-ciel, Loche de rivière, Spirlin, Gremille, Bouvière, Brème commune, Brochet, Brème bordelière, Rotengle, Carassin, Barbeau fluviatile, Carpe commune, Tanche, Sandre, Perche soleil, Epinochette, Able de Heckel, Pseudorasbora, Truite de mer, Saumon atlantique, Lamproie de rivière, Flet commun, Hotu, Silure glane, Aspe, Gobie demi-lune, Carpe miroir, Ombre commun, Lote de rivière, Carassin argente, Poisson chat, Cyprinidés, Blageon, Carpe cuir, Hybride brème-gardon, Ide melanote, Carpe agentée, Vandoise rostrée, Lamproie marine, Toxostome, Carrassin doré, Crapet de roche, Carassin doré, Mulet porc, Black bass à grande bouche, Gambusie, Saumon de fontaine, Mulet à grosses levres, Epirine lippue, Barbeau méridional, L'Amour blanc, Blennie, Atherine prêtre, Apron, Alose feinte, Bar",70
