periode,lb_statut_esp,esp_nom_commun,esp_nom_commun_nb
1991,Préoccupation mineure,"Chevaine, Goujon, Gardon, Spirlin, Hotu, Vairon, Epinoche, Ablette, Loche franche, Vandoise, Lote de rivière, Barbeau fluviatile, Tanche, Brème commune, Rotengle, Carpe commune, Brème bordelière, Gremille, Truite de riviere, Chabot, Bouvière, Loche de rivière, Carassin, Lamproie de planer, Truite de mer, Saumon atlantique, Epinochette, Truite arc-en-ciel, Lamproie de rivière, Lamproie marine, Toxostome, Epirine lippue, Blageon, Barbeau méridional",34
1993,Préoccupation mineure,"Truite de riviere, Chabot, Gardon, Vandoise, Chevaine, Goujon, Spirlin, Ablette, Epinoche, Brème commune, Vairon, Bouvière, Barbeau fluviatile, Tanche, Brème bordelière, Carpe miroir, Carpe commune, Hotu, Gremille, Lote de rivière, Rotengle, Loche franche, Carassin, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Truite arc-en-ciel, Epinochette, Loche de rivière, Able de Heckel, Truite de mer, Saumon atlantique, Lamproie marine, Blageon, Barbeau méridional, Toxostome, Saumon de fontaine",36
1995,Préoccupation mineure,"Goujon, Gardon, Chevaine, Ablette, Spirlin, Vandoise, Loche franche, Vairon, Gremille, Chabot, Loche de rivière, Hotu, Carpe cuir, Epinoche, Carpe miroir, Carassin, Tanche, Brème commune, Ide melanote, Rotengle, Bouvière, Truite arc-en-ciel, Epinochette, Truite de riviere, Lamproie de planer, Truite de mer, Lamproie de rivière, Barbeau fluviatile, Carpe commune, Brème bordelière, Aspe, Lote de rivière, Blageon, Carrassin doré, Flet commun, Saumon atlantique, Toxostome, Able de Heckel, Mulet cabot, Carassin argente, Black bass à grande bouche, Lamproie marine, Cyprinidés, Gambusie, Saumon de fontaine, Mulet à grosses levres, Grande alose, Umbre pygmee, Barbeau méridional, Mulet porc",50
1997,Préoccupation mineure,"Goujon, Chevaine, Gardon, Ablette, Loche franche, Vairon, Vandoise, Spirlin, Loche de rivière, Chabot, Gremille, Epinoche, Truite arc-en-ciel, Brème commune, Rotengle, Brème bordelière, Tanche, Epinochette, Bouvière, Able de Heckel, Truite de riviere, Lamproie de planer, Carassin, Truite de mer, Barbeau fluviatile, Hotu, Saumon atlantique, Carpe commune, Aspe, Lote de rivière, Carpe miroir, Blageon, Toxostome, Carrassin doré, Black bass à grande bouche, Cyprinidés, Carpe cuir, Gobie de sable, Flet commun, Lamproie de rivière, Lamproie marine, Carassin argente, Carpe agentée, Mulet porc, Ide melanote, Gambusie, Epirine lippue, Mulet à grosses levres, Grande alose, Barbeau méridional, Blennie",51
1999,Préoccupation mineure,"Chabot, Vairon, Lamproie marine, Truite de riviere, Lamproie de planer, Epinoche, Lamproie de rivière, Truite arc-en-ciel, Goujon, Chevaine, Loche franche, Gardon, Ablette, Loche de rivière, Vandoise, Spirlin, Gremille, Brème commune, Tanche, Rotengle, Bouvière, Brème bordelière, Able de Heckel, Carpe miroir, Carassin, Truite de mer, Epinochette, Barbeau fluviatile, Hotu, Saumon atlantique, Aspe, Carpe commune, Cyprinidés, Lote de rivière, Blageon, Saumon de fontaine, Carpe cuir, Carrassin doré, Black bass à grande bouche, Flet commun, Mulet porc, Bar, Crapet de roche, Toxostome, Ide melanote, Alose feinte, Gambusie, Grande alose, Epirine lippue, Mulet à grosses levres, Barbeau méridional, Blennie, Atherine prêtre, Mulet doré",54
2001,Préoccupation mineure,"Chabot, Vairon, Truite de riviere, Lamproie de planer, Loche franche, Chevaine, Goujon, Gardon, Vandoise, Spirlin, Loche de rivière, Ablette, Epinoche, Gremille, Tanche, Brème commune, Brème bordelière, Carassin, Bouvière, Carpe commune, Rotengle, Truite arc-en-ciel, Truite de mer, Flet commun, Barbeau fluviatile, Hotu, Blageon, Saumon atlantique, Lote de rivière, Aspe, Carpe miroir, Able de Heckel, Carrassin doré, Ide melanote, Lamproie indéterminée (genre Lampetra), Epinochette, Carpe cuir, Saumon de fontaine, Mulet porc, Lamproie marine, Black bass à grande bouche, Cyprinidés, Gambusie, Toxostome, Mulet à grosses levres, Grande alose, Epirine lippue, Lamproie de rivière, Barbeau méridional, Blennie, Apron, Bar, Mulet cabot",53
2003,Préoccupation mineure,"Vairon, Chabot, Lamproie de planer, Gardon, Truite de riviere, Epinoche, Vandoise, Lamproie de rivière, Truite arc-en-ciel, Loche franche, Chevaine, Goujon, Loche de rivière, Spirlin, Rotengle, Bouvière, Ablette, Tanche, Gremille, Hotu, Brème commune, Carassin, Ide melanote, Epinochette, Brème bordelière, Able de Heckel, Truite de mer, Barbeau fluviatile, Lamproie marine, Saumon atlantique, Carpe commune, Lamproie indéterminée (genre Lampetra), Carrassin doré, Aspe, Cyprinidés, Lote de rivière, Carpe miroir, Blageon, Saumon de fontaine, Mulet à grosses levres, Flet commun, Carpe cuir, Toxostome, Mulet porc, Black bass à grande bouche, Carassin argente, Gambusie, Carpe agentée, Grande alose, Barbeau méridional, Epirine lippue, Blennie, Mulet cabot, Mulet doré, Bar, Atherine prêtre",56
2005,Préoccupation mineure,"Vairon, Chabot, Lamproie de planer, Truite de riviere, Gardon, Truite arc-en-ciel, Carpe commune, Truite de mer, Loche franche, Goujon, Vandoise, Chevaine, Gremille, Ablette, Brème commune, Epinoche, Bouvière, Spirlin, Loche de rivière, Tanche, Carassin, Rotengle, Brème bordelière, Carpe miroir, Saumon atlantique, Epinochette, Barbeau fluviatile, Cyprinidés, Lamproie indéterminée (genre Lampetra), Hotu, Aspe, Lote de rivière, Carassin argente, Carrassin doré, Ide melanote, Able de Heckel, Saumon de fontaine, Blageon, Mulet porc, Gobie de sable, Flet commun, Carpe agentée, Lamproie marine, Carpe cuir, Toxostome, Crapet de roche, Black bass à grande bouche, Grande alose, Lamproie de rivière, Gambusie, Mulet à grosses levres, Barbeau méridional, Epirine lippue, Blennie, Bar",55
2007,Préoccupation mineure,"Chabot, Vairon, Truite de riviere, Lamproie de planer, Flet commun, Truite de mer, Loche franche, Ablette, Gardon, Chevaine, Goujon, Vandoise, Gremille, Spirlin, Loche de rivière, Rotengle, Bouvière, Barbeau fluviatile, Able de Heckel, Carpe commune, Brème commune, Epinoche, Tanche, Brème bordelière, Loche d'étang, Carassin, Truite arc-en-ciel, Carpe cuir, Epinochette, Mulet porc, Hotu, Saumon atlantique, Lamproie indéterminée (genre Lampetra), Aspe, Lote de rivière, Gobie demi-lune, Carassin argente, Carpe miroir, Ide melanote, Carrassin doré, Cyprinidés, Hybride brème-gardon, Blageon, Carpe agentée, Tête de boule, Lamproie marine, Toxostome, Crapet de roche, Grande alose, Black bass à grande bouche, Carassin doré, Gambusie, Vandoise rostrée, Mulet à grosses levres, Epirine lippue, Barbeau méridional, Saumon de fontaine, Blennie, Alose feinte, Bar, Apron, Truite de lac, Mulet cabot, Atherine prêtre",64
2009,Préoccupation mineure,"Chabot, Truite de riviere, Vairon, Lamproie indéterminée (genre Lampetra), Lamproie de planer, Gardon, Epinoche, Loche franche, Ablette, Goujon, Vandoise, Chevaine, Truite arc-en-ciel, Loche de rivière, Spirlin, Gremille, Bouvière, Brème commune, Brème bordelière, Rotengle, Carassin, Barbeau fluviatile, Carpe commune, Tanche, Epinochette, Able de Heckel, Truite de mer, Saumon atlantique, Lamproie de rivière, Flet commun, Hotu, Aspe, Gobie demi-lune, Carpe miroir, Lote de rivière, Carassin argente, Cyprinidés, Blageon, Carpe cuir, Hybride brème-gardon, Ide melanote, Carpe agentée, Vandoise rostrée, Lamproie marine, Toxostome, Carrassin doré, Crapet de roche, Carassin doré, Mulet porc, Black bass à grande bouche, Gambusie, Saumon de fontaine, Mulet à grosses levres, Epirine lippue, Barbeau méridional, L'Amour blanc, Blennie, Atherine prêtre, Apron, Alose feinte, Bar",61
